,left,right
428,10612094,12122924
429,10658673,13045287
430,10682660,16856539
431,10702736,14206030
432,10710503,18142558
433,10714526,2911847
434,10716080,3595837
435,10728318,3598000
436,10728323,2655798
437,10728328,18464581
438,10728333,13557064
439,10756813,2648254
440,10758204,2650887
441,10760217,2669331
442,10766722,16450562
443,10792336,5163599
444,10792617,11278919
445,10797407,14760757
446,5321459,10809383
447,10842047,14914182
448,10842099,10882750
449,10865025,4116174
450,10872426,8572353
451,21300466,18644088
452,10875625,4067286
453,10880408,10875178
454,10885466,12548756
455,10893103,9720614
456,10915553,11905911
457,10918898,4228105
458,10921106,16388736
459,10922020,17123466
460,10922928,3149791
461,10955244,11248536
462,10958210,17671375
463,10964258,17357979
464,10982951,8697453
465,11003551,17913199
466,11003660,16594509
467,11003707,17525174
468,11004239,8069478
469,11007420,16884962
470,11009492,17304269
471,11011058,2667061
472,11013351,11909406
473,11013583,17589475
474,11017761,16178283
475,11018254,15480928
476,11022546,17663944
477,11027071,3010486
478,11037238,7719118
479,11051740,7421507
480,11067379,4393049
481,11073313,16347476
482,11079069,10986253
483,11084320,8461082
484,11123016,4152020
485,11135340,11645541
486,11144258,9800178
487,11146422,19276024
488,17036132,11157622
489,11192283,6254216
490,11193510,3930411
491,11195708,13968203
492,11216417,8451818
493,11217208,5993001
494,11229136,17529547
495,11257084,7612147
496,11263687,6692908
497,11286854,8942413
498,11291653,8412625
499,11303036,15823055
500,11329998,13365464
501,11333054,17884299
502,11348509,3765735
503,11389855,16484888
504,11409587,17019327
505,11468088,4188325
506,11600886,7980189
507,11625573,18545747
508,10059655,11639192
509,11656349,16297403
510,11687072,18425189
511,11691603,4444354
512,11703922,16181377
513,11717001,10683313
514,11717014,21591037
515,11717025,8413543
516,11717030,9606496
517,11719626,20278329
518,11725127,4230061
519,11725803,8066542
520,16627838,8413663
521,11756023,20344845
522,11782821,3913613
523,11821320,6220384
524,11841664,5856647
525,11853038,12842593
526,11871574,11102156
527,11876076,15674282
528,11908619,8318813
529,11934107,3844961
530,11934261,15633329
531,12000033,9750356
532,12089601,11838242
533,12121795,11788830
534,12138418,8310087
535,12195879,20443598
536,12225666,4327684
537,12233237,11528017
538,12252572,16651566
539,12262910,5738449
540,12279909,8471817
541,12279941,17328632
542,12281339,9585013
543,12293334,13405613
544,12299621,8034919
545,12299647,11624548
546,12299704,10768709
547,12299805,7422595
548,12300089,10827212
549,12325227,9507904
550,12356747,19857573
551,12360656,17819985
552,12364717,11356523
553,12366224,19857577
554,12366640,17897298
555,12367135,16666673
556,12367568,12884490
557,12387154,8723267
558,12389097,15674269
559,12390459,19989037
560,12398622,4103336
561,12420377,13242252
562,12420898,5162462
563,12424940,5971400
564,12425856,13173311
565,12452356,6250655
566,12475432,3890028
567,12476851,16070049
568,12478620,16318521
569,12479019,5560620
570,12498338,3913629
571,12500843,13242336
572,12509506,16841026
573,12551020,14756061
574,12585379,13768622
575,12587013,9015568
576,12598741,15706875
577,2568522,12612426
578,12617396,3844799
579,12634154,2357110
580,12654063,12990900
581,12667895,17425996
582,12670738,17847543
583,12745771,2914206
584,12782494,15585114
585,12789813,16405545
586,12832017,19091931
587,12839441,17125520
588,12840470,10495502
589,12866697,11465297
590,12868041,17340931
591,12869029,13953356
592,12871993,4884579
593,12882387,7563413
594,12923749,10663559
595,12935706,16852421
596,12948470,9275210
597,13028455,4142619
598,13197236,8075484
599,13199414,11234536
600,13206239,8847957
601,13313410,16586265
602,13370624,14756440
603,13380660,14517691
604,13395814,17756162
605,13422280,7589765
606,13714311,8710444
607,13718916,15673454
608,13736919,17877682
609,13743125,17854345
610,13749806,14034206
611,13818467,17813001
612,13830600,16057212
613,13832416,5591201
614,13833814,16316981
615,13849557,6143930
616,13852833,9457719
617,13854190,5476653
618,13966828,3707204
619,8539175,13988443
620,14000746,16699958
621,14034311,5976168
622,14071449,13953546
623,14071613,4411542
624,14073503,5669107
625,14082322,7840791
626,14133114,17166682
627,14158399,17784367
628,14162492,2854715
629,14241490,16924423
630,14260575,16987409
631,14270761,9103710
632,14313750,11889676
633,14319185,8565131
634,14319498,17942676
635,14333371,2932028
636,14333495,13858797
637,14338439,8805777
638,14342744,15618614
639,14434314,13369670
640,14437742,3806652
641,14450919,18220289
642,14451162,17278502
643,14461238,18292832
644,14492757,14656798
645,14493841,11361875
646,14514597,13986477
647,14519756,7467027
648,14539753,12962772
649,14540633,4473922
650,14541927,4235139
651,14570370,13724377
652,14579509,13835439
653,14586769,19048289
654,14617508,14680483
655,14621584,17355864
656,14638686,11891098
657,14651659,13760954
658,14655602,15672269
659,14659793,6651098
660,14723506,17850822
661,14726012,9091922
662,14726069,5805651
663,14756000,13634759
664,14782250,3235409
665,14797760,15679639
666,14818307,3932136
667,14891367,5771934
668,14898816,4230739
669,16039470,4241192
670,14981128,9039416
671,14995061,16629886
672,14999928,4591713
673,15023806,9845997
674,15028907,11362589
675,15055590,14492880
676,15063529,17326213
677,15096548,13841523
678,15253921,4598109
679,15343835,4114133
680,15365184,5512988
681,15398730,6703240
682,15421363,3299214
683,15431408,16714214
684,15468308,17330632
685,12928099,15474790
686,8540770,15488316
687,15510288,6300434
688,15512408,4917442
689,15514582,8826198
690,15516413,5816138
691,15517247,16335254
692,15519213,5791548
693,15522152,15548844
694,15524629,15736398
695,15525711,9068346
696,15525794,9069084
697,15539984,8271875
698,15541971,5734134
699,17036160,15547235
700,15566333,15568333
701,15568134,5973097
702,15571194,3234817
703,15576292,17384874
704,15577444,5656152
705,15586914,16176721
706,15586949,3180681
707,15587533,11029851
708,15588620,7594047
709,15588711,10945795
710,15590793,17378548
711,15592096,16240569
712,15594113,15590555
713,15605301,15607335
714,15608355,6252764
715,15608953,15632120
716,15612283,8912726
717,15623649,20443457
718,15629759,2659504
719,15632282,16884085
720,15639216,15639331
721,15639294,7571966
722,15668309,17165711
723,15669682,17658672
724,15676016,3058132
725,15686444,15638932
726,15689046,8979434
727,15718981,1591270
728,15722867,9609048
729,15722990,9604434
